timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695575277505,67,http://api.demo.hidayahsmart.solutions/docs,200,OK,Thread Group 1-7,text,true,,982,385,18,18,http://api.demo.hidayahsmart.solutions/docs,63,0,32
1695575277499,67,http://api.demo.hidayahsmart.solutions/docs,200,OK,Thread Group 1-2,text,true,,982,385,18,18,http://api.demo.hidayahsmart.solutions/docs,65,0,33
1695575277522,49,http://api.demo.hidayahsmart.solutions/docs,200,OK,Thread Group 1-13,text,true,,982,385,18,18,http://api.demo.hidayahsmart.solutions/docs,44,0,15
1695575277504,67,http://api.demo.hidayahsmart.solutions/docs,200,OK,Thread Group 1-6,text,true,,982,385,18,18,http://api.demo.hidayahsmart.solutions/docs,62,0,33
1695575277500,66,http://api.demo.hidayahsmart.solutions/docs,200,OK,Thread Group 1-1,text,true,,982,385,18,18,http://api.demo.hidayahsmart.solutions/docs,61,0,32
1695575277505,67,http://api.demo.hidayahsmart.solutions/docs,200,OK,Thread Group 1-9,text,true,,982,385,18,18,http://api.demo.hidayahsmart.solutions/docs,67,0,32
1695575277474,67,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,982,385,18,18,null,63,33,32
1695575277521,49,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-13,,true,,982,385,18,18,null,44,4,15
1695575277423,66,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,982,385,18,18,null,61,80,32
1695575277423,67,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,982,385,18,18,null,65,79,33
1695575277466,67,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,982,385,18,18,null,62,41,33
1695575277486,67,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,982,385,18,18,null,67,21,32
1695575277504,75,http://api.demo.hidayahsmart.solutions/docs,200,OK,Thread Group 1-10,text,true,,982,385,18,18,http://api.demo.hidayahsmart.solutions/docs,75,0,33
1695575277497,75,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,982,385,18,18,null,75,8,33
1695575277504,83,http://api.demo.hidayahsmart.solutions/docs,200,OK,Thread Group 1-8,text,true,,982,385,19,19,http://api.demo.hidayahsmart.solutions/docs,83,0,34
1695575277476,83,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,982,385,19,19,null,83,29,34
1695575277500,83,http://api.demo.hidayahsmart.solutions/docs,200,OK,Thread Group 1-4,text,true,,982,385,19,19,http://api.demo.hidayahsmart.solutions/docs,83,0,32
1695575277439,83,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,982,385,19,19,null,83,61,32
1695575277514,75,http://api.demo.hidayahsmart.solutions/docs,200,OK,Thread Group 1-12,text,true,,982,385,19,19,http://api.demo.hidayahsmart.solutions/docs,75,0,23
1695575277513,75,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-12,,true,,982,385,19,19,null,75,2,23
1695575277499,92,http://api.demo.hidayahsmart.solutions/docs,200,OK,Thread Group 1-3,text,true,,982,385,20,20,http://api.demo.hidayahsmart.solutions/docs,92,0,33
1695575277429,92,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,982,385,20,20,null,92,71,33
1695575277534,64,http://api.demo.hidayahsmart.solutions/docs,200,OK,Thread Group 1-14,text,true,,982,385,20,20,http://api.demo.hidayahsmart.solutions/docs,64,0,5
1695575277533,64,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-14,,true,,982,385,20,20,null,64,2,5
1695575277500,97,http://api.demo.hidayahsmart.solutions/docs,200,OK,Thread Group 1-5,text,true,,982,385,21,21,http://api.demo.hidayahsmart.solutions/docs,97,0,32
1695575277449,97,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,982,385,21,21,null,97,52,32
1695575277541,62,http://api.demo.hidayahsmart.solutions/docs,200,OK,Thread Group 1-15,text,true,,982,385,21,21,http://api.demo.hidayahsmart.solutions/docs,62,0,5
1695575277540,62,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-15,,true,,982,385,21,21,null,62,2,5
